time_tag,p3_flux_ic
1993-03-13 09:05:00,9.93
1993-03-13 09:10:00,9.14
1993-03-13 09:15:00,8.07
1993-03-13 09:20:00,8.24
1993-03-13 09:25:00,7.66
1993-03-13 09:30:00,7.78
1993-03-13 09:35:00,8.09
1993-03-13 09:40:00,8.28
1993-03-13 09:45:00,7.01
1993-03-13 09:50:00,6.27
1993-03-13 09:55:00,6.68
1993-03-13 10:00:00,7.0
1993-03-13 10:05:00,6.07
1993-03-13 10:10:00,6.43
1993-03-13 10:15:00,4.94
1993-03-13 10:20:00,4.86
1993-03-13 10:25:00,6.18
1993-03-13 10:30:00,5.64
1993-03-13 10:35:00,5.58
1993-03-13 10:40:00,5.3
1993-03-13 10:45:00,5.43
1993-03-13 10:50:00,4.63
1993-03-13 10:55:00,3.94
1993-03-13 11:00:00,4.81
1993-03-13 11:05:00,4.8
1993-03-13 11:10:00,5.64
1993-03-13 11:15:00,4.95
1993-03-13 11:20:00,3.54
1993-03-13 11:25:00,4.12
1993-03-13 11:30:00,2.88
1993-03-13 11:35:00,4.37
1993-03-13 11:40:00,3.12
1993-03-13 11:45:00,3.87
1993-03-13 11:50:00,3.39
1993-03-13 11:55:00,2.79
1993-03-13 12:00:00,3.53
1993-03-13 12:05:00,4.23
1993-03-13 12:10:00,3.56
1993-03-13 12:15:00,2.82
1993-03-13 12:20:00,2.8
1993-03-13 12:25:00,3.06
1993-03-13 12:30:00,3.36
1993-03-13 12:35:00,3.0
1993-03-13 12:40:00,2.69
1993-03-13 12:45:00,3.69
1993-03-13 12:50:00,2.98
1993-03-13 12:55:00,3.4
1993-03-13 13:00:00,2.18
1993-03-13 13:05:00,2.06
1993-03-13 13:10:00,3.0
1993-03-13 13:15:00,2.43
1993-03-13 13:20:00,2.83
1993-03-13 13:25:00,2.95
1993-03-13 13:30:00,2.66
1993-03-13 13:35:00,3.47
1993-03-13 13:40:00,2.62
1993-03-13 13:45:00,2.96
1993-03-13 13:50:00,2.97
1993-03-13 13:55:00,2.62
1993-03-13 14:00:00,2.37
1993-03-13 14:05:00,2.44
1993-03-13 14:10:00,2.35
1993-03-13 14:15:00,2.07
1993-03-13 14:20:00,1.76
1993-03-13 14:25:00,1.89
1993-03-13 14:30:00,2.22
1993-03-13 14:35:00,2.67
1993-03-13 14:40:00,1.73
1993-03-13 14:45:00,2.14
1993-03-13 14:50:00,2.59
1993-03-13 14:55:00,2.08
1993-03-13 15:00:00,1.82
1993-03-13 15:05:00,1.87
1993-03-13 15:10:00,2.56
1993-03-13 15:15:00,1.16
1993-03-13 15:20:00,1.37
1993-03-13 15:25:00,1.74
1993-03-13 15:30:00,1.48
1993-03-13 15:35:00,2.54
1993-03-13 15:40:00,1.33
1993-03-13 15:45:00,1.87
1993-03-13 15:50:00,1.83
1993-03-13 15:55:00,1.89
1993-03-13 16:00:00,1.75
1993-03-13 16:05:00,1.72
1993-03-13 16:10:00,2.19
1993-03-13 16:15:00,1.76
1993-03-13 16:20:00,1.02
1993-03-13 16:25:00,0.838
1993-03-13 16:30:00,1.65
1993-03-13 16:35:00,1.71
1993-03-13 16:40:00,1.71
1993-03-13 16:45:00,1.78
1993-03-13 16:50:00,1.84
1993-03-13 16:55:00,1.32
1993-03-13 17:00:00,2.22
1993-03-13 17:05:00,2.13
1993-03-13 17:10:00,2.08
1993-03-13 17:15:00,1.22
1993-03-13 17:20:00,1.24
1993-03-13 17:25:00,2.16
1993-03-13 17:30:00,1.28
1993-03-13 17:35:00,1.35
1993-03-13 17:40:00,1.83
1993-03-13 17:45:00,1.74
1993-03-13 17:50:00,1.77
1993-03-13 17:55:00,0.885
1993-03-13 18:00:00,2.01
1993-03-13 18:05:00,1.85
1993-03-13 18:10:00,1.1
1993-03-13 18:15:00,2.07
1993-03-13 18:20:00,1.72
1993-03-13 18:25:00,1.62
1993-03-13 18:30:00,1.56
1993-03-13 18:35:00,1.49
1993-03-13 18:40:00,0.959
1993-03-13 18:45:00,1.44
1993-03-13 18:50:00,1.28
1993-03-13 18:55:00,0.946
1993-03-13 19:00:00,1.52
1993-03-13 19:05:00,0.92
1993-03-13 19:10:00,1.59
1993-03-13 19:15:00,1.33
1993-03-13 19:20:00,1.93
1993-03-13 19:25:00,1.81
1993-03-13 19:30:00,1.1
1993-03-13 19:35:00,1.03
1993-03-13 19:40:00,0.927
1993-03-13 19:45:00,1.83
1993-03-13 19:50:00,1.06
1993-03-13 19:55:00,0.783
1993-03-13 20:00:00,1.34
1993-03-13 20:05:00,1.25
1993-03-13 20:10:00,1.16
1993-03-13 20:15:00,1.19
1993-03-13 20:20:00,0.906
1993-03-13 20:25:00,0.437
1993-03-13 20:30:00,1.41
1993-03-13 20:35:00,1.37
1993-03-13 20:40:00,1.01
1993-03-13 20:45:00,1.23
1993-03-13 20:50:00,1.04
1993-03-13 20:55:00,0.778
1993-03-13 21:00:00,0.959
1993-03-13 21:05:00,1.66
1993-03-13 21:10:00,1.36
1993-03-13 21:15:00,1.28
1993-03-13 21:20:00,1.55
1993-03-13 21:25:00,1.27
1993-03-13 21:30:00,1.28
1993-03-13 21:35:00,1.41
1993-03-13 21:40:00,0.71
1993-03-13 21:45:00,1.7
1993-03-13 21:50:00,1.66
1993-03-13 21:55:00,1.05
1993-03-13 22:00:00,0.743
1993-03-13 22:05:00,1.64
