time_tag,p3_flux_ic
1993-02-01 00:00:00,0.188
1993-02-01 00:05:00,0.329
1993-02-01 00:10:00,0.196
1993-02-01 00:15:00,0.0524
1993-02-01 00:20:00,0.255
1993-02-01 00:25:00,0.0532
1993-02-01 00:30:00,0.102
1993-02-01 00:35:00,0.239
1993-02-01 00:40:00,0.167
1993-02-01 00:45:00,0.126
1993-02-01 00:50:00,0.171
1993-02-01 00:55:00,0.212
1993-02-01 01:00:00,0.447
1993-02-01 01:05:00,0.0993
1993-02-01 01:10:00,0.298
1993-02-01 01:15:00,0.167
1993-02-01 01:20:00,0.192
1993-02-01 01:25:00,0.251
1993-02-01 01:30:00,0.24
1993-02-01 01:35:00,0.145
1993-02-01 01:40:00,0.143
1993-02-01 01:45:00,0.121
1993-02-01 01:50:00,0.119
1993-02-01 01:55:00,0.175
1993-02-01 02:00:00,0.299
1993-02-01 02:05:00,0.255
1993-02-01 02:10:00,0.127
1993-02-01 02:15:00,0.184
1993-02-01 02:20:00,0.387
1993-02-01 02:25:00,0.0741
1993-02-01 02:30:00,0.262
1993-02-01 02:35:00,0.195
1993-02-01 02:40:00,0.424
1993-02-01 02:45:00,0.179
1993-02-01 02:50:00,0.236
1993-02-01 02:55:00,0.235
1993-02-01 03:00:00,0.185
1993-02-01 03:05:00,0.196
1993-02-01 03:10:00,0.186
1993-02-01 03:15:00,0.214
1993-02-01 03:20:00,0.122
1993-02-01 03:25:00,0.119
1993-02-01 03:30:00,0.116
1993-02-01 03:35:00,0.355
1993-02-01 03:40:00,0.114
1993-02-01 03:45:00,0.118
1993-02-01 03:50:00,0.181
1993-02-01 03:55:00,0.119
1993-02-01 04:00:00,0.194
1993-02-01 04:05:00,0.191
1993-02-01 04:10:00,0.15
1993-02-01 04:15:00,0.248
1993-02-01 04:20:00,0.13
1993-02-01 04:25:00,0.115
1993-02-01 04:30:00,0.201
1993-02-01 04:35:00,0.199
1993-02-01 04:40:00,0.267
1993-02-01 04:45:00,0.196
1993-02-01 04:50:00,0.131
1993-02-01 04:55:00,0.393
1993-02-01 05:00:00,0.109
1993-02-01 05:05:00,0.365
1993-02-01 05:10:00,0.0776
1993-02-01 05:15:00,0.139
1993-02-01 05:20:00,0.2
1993-02-01 05:25:00,0.102
1993-02-01 05:30:00,0.0531
1993-02-01 05:35:00,0.327
1993-02-01 05:40:00,0.2
1993-02-01 05:45:00,0.172
1993-02-01 05:50:00,0.192
1993-02-01 05:55:00,0.0832
1993-02-01 06:00:00,0.163
1993-02-01 06:05:00,0.275
1993-02-01 06:10:00,0.155
1993-02-01 06:15:00,0.149
1993-02-01 06:20:00,0.192
1993-02-01 06:25:00,0.0929
1993-02-01 06:30:00,0.102
1993-02-01 06:35:00,0.208
1993-02-01 06:40:00,0.123
1993-02-01 06:45:00,0.47
1993-02-01 06:50:00,0.178
1993-02-01 06:55:00,0.258
1993-02-01 07:00:00,0.218
1993-02-01 07:05:00,0.182
1993-02-01 07:10:00,0.203
1993-02-01 07:15:00,0.254
1993-02-01 07:20:00,0.258
1993-02-01 07:25:00,0.21
1993-02-01 07:30:00,0.321
1993-02-01 07:35:00,0.211
1993-02-01 07:40:00,0.121
1993-02-01 07:45:00,0.11
1993-02-01 07:50:00,0.301
1993-02-01 07:55:00,0.142
1993-02-01 08:00:00,0.235
1993-02-01 08:05:00,0.138
1993-02-01 08:10:00,0.309
1993-02-01 08:15:00,0.125
1993-02-01 08:20:00,0.112
1993-02-01 08:25:00,0.115
1993-02-01 08:30:00,0.0912
1993-02-01 08:35:00,0.118
1993-02-01 08:40:00,0.391
1993-02-01 08:45:00,0.122
1993-02-01 08:50:00,0.168
1993-02-01 08:55:00,0.167
1993-02-01 09:00:00,0.225
1993-02-01 09:05:00,0.128
1993-02-01 09:10:00,0.2
1993-02-01 09:15:00,0.0964
1993-02-01 09:20:00,0.317
1993-02-01 09:25:00,0.264
1993-02-01 09:30:00,0.303
1993-02-01 09:35:00,0.315
1993-02-01 09:40:00,0.209
1993-02-01 09:45:00,0.226
1993-02-01 09:50:00,0.207
1993-02-01 09:55:00,0.273
1993-02-01 10:00:00,0.155
1993-02-01 10:05:00,0.288
1993-02-01 10:10:00,0.522
1993-02-01 10:15:00,0.196
1993-02-01 10:20:00,0.245
1993-02-01 10:25:00,0.22
1993-02-01 10:30:00,0.194
1993-02-01 10:35:00,0.268
1993-02-01 10:40:00,0.102
1993-02-01 10:45:00,0.0929
1993-02-01 10:50:00,0.175
1993-02-01 10:55:00,0.227
1993-02-01 11:00:00,0.178
1993-02-01 11:05:00,0.135
1993-02-01 11:10:00,0.253
1993-02-01 11:15:00,0.16
1993-02-01 11:20:00,0.333
1993-02-01 11:25:00,0.198
1993-02-01 11:30:00,0.129
1993-02-01 11:35:00,0.189
1993-02-01 11:40:00,0.115
1993-02-01 11:45:00,0.247
1993-02-01 11:50:00,0.12
1993-02-01 11:55:00,0.174
1993-02-01 12:00:00,0.24
1993-02-01 12:05:00,0.209
1993-02-01 12:10:00,0.125
1993-02-01 12:15:00,0.42
1993-02-01 12:20:00,0.231
1993-02-01 12:25:00,0.112
1993-02-01 12:30:00,0.176
1993-02-01 12:35:00,0.233
1993-02-01 12:40:00,0.135
1993-02-01 12:45:00,0.168
1993-02-01 12:50:00,0.121
1993-02-01 12:55:00,0.0962
1993-02-01 13:00:00,0.163
