time_tag,p3_flux_ic
2005-09-13 16:40:00,1.75
2005-09-13 16:45:00,1.02
2005-09-13 16:50:00,1.16
2005-09-13 16:55:00,0.507
2005-09-13 17:00:00,0.594
2005-09-13 17:05:00,1.29
2005-09-13 17:10:00,0.891
2005-09-13 17:15:00,0.605
2005-09-13 17:20:00,0.381
2005-09-13 17:25:00,0.384
2005-09-13 17:30:00,0.252
2005-09-13 17:35:00,0.946
2005-09-13 17:40:00,0.3
2005-09-13 17:45:00,0.317
2005-09-13 17:50:00,1.22
2005-09-13 17:55:00,0.344
2005-09-13 18:00:00,1.02
2005-09-13 18:05:00,1.4
2005-09-13 18:10:00,0.309
2005-09-13 18:15:00,1.95
2005-09-13 18:20:00,1.3
2005-09-13 18:25:00,1.25
2005-09-13 18:30:00,1.09
2005-09-13 18:35:00,0.838
2005-09-13 18:40:00,1.44
2005-09-13 18:45:00,0.522
2005-09-13 18:50:00,1.27
2005-09-13 18:55:00,1.85
2005-09-13 19:00:00,1.9
2005-09-13 19:05:00,1.89
2005-09-13 19:10:00,2.79
2005-09-13 19:15:00,2.87
2005-09-13 19:20:00,3.13
2005-09-13 19:25:00,2.66
2005-09-13 19:30:00,4.13
2005-09-13 19:35:00,4.35
2005-09-13 19:40:00,3.59
2005-09-13 19:45:00,3.02
2005-09-13 19:50:00,2.53
2005-09-13 19:55:00,1.73
2005-09-13 20:00:00,1.13
2005-09-13 20:05:00,1.67
2005-09-13 20:10:00,1.25
2005-09-13 20:15:00,1.27
2005-09-13 20:20:00,1.25
2005-09-13 20:25:00,0.274
2005-09-13 20:30:00,0.766
2005-09-13 20:35:00,1.0
2005-09-13 20:40:00,0.682
2005-09-13 20:45:00,0.805
2005-09-13 20:50:00,0.716
2005-09-13 20:55:00,0.675
2005-09-13 21:00:00,0.705
2005-09-13 21:05:00,0.551
2005-09-13 21:10:00,0.745
2005-09-13 21:15:00,1.17
2005-09-13 21:20:00,0.196
2005-09-13 21:25:00,0.38
2005-09-13 21:30:00,0.288
2005-09-13 21:35:00,0.832
2005-09-13 21:40:00,0.361
2005-09-13 21:45:00,0.575
2005-09-13 21:50:00,0.94
2005-09-13 21:55:00,0.382
2005-09-13 22:00:00,0.123
2005-09-13 22:05:00,0.489
2005-09-13 22:10:00,0.465
2005-09-13 22:15:00,0.286
2005-09-13 22:20:00,0.891
2005-09-13 22:25:00,0.817
2005-09-13 22:30:00,0.277
2005-09-13 22:35:00,0.33
2005-09-13 22:40:00,0.207
2005-09-13 22:45:00,0.262
2005-09-13 22:50:00,0.296
2005-09-13 22:55:00,0.342
2005-09-13 23:00:00,0.614
2005-09-13 23:05:00,0.547
2005-09-13 23:10:00,1.65
2005-09-13 23:15:00,2.2
2005-09-13 23:20:00,1.57
2005-09-13 23:25:00,2.94
2005-09-13 23:30:00,2.77
2005-09-13 23:35:00,3.13
2005-09-13 23:40:00,4.57
2005-09-13 23:45:00,4.22
2005-09-13 23:50:00,3.5
2005-09-13 23:55:00,3.95
2005-09-14 00:00:00,4.07
2005-09-14 00:05:00,3.13
2005-09-14 00:10:00,3.27
