time_tag,p3_flux_ic
2003-11-07 09:30:00,9.06
2003-11-07 09:35:00,8.49
2003-11-07 09:40:00,8.95
2003-11-07 09:45:00,8.53
2003-11-07 09:50:00,8.87
2003-11-07 09:55:00,9.57
2003-11-07 10:00:00,9.68
2003-11-07 10:05:00,9.12
2003-11-07 10:10:00,8.71
2003-11-07 10:15:00,10.7
2003-11-07 10:20:00,7.67
2003-11-07 10:25:00,9.57
2003-11-07 10:30:00,9.95
2003-11-07 10:35:00,8.69
2003-11-07 10:40:00,9.25
2003-11-07 10:45:00,10.1
2003-11-07 10:50:00,9.1
2003-11-07 10:55:00,9.48
2003-11-07 11:00:00,9.46
2003-11-07 11:05:00,8.59
2003-11-07 11:10:00,10.1
2003-11-07 11:15:00,10.2
2003-11-07 11:20:00,8.69
2003-11-07 11:25:00,9.93
2003-11-07 11:30:00,7.89
2003-11-07 11:35:00,8.28
2003-11-07 11:40:00,9.2
2003-11-07 11:45:00,8.91
2003-11-07 11:50:00,7.46
2003-11-07 11:55:00,7.14
2003-11-07 12:00:00,8.41
2003-11-07 12:05:00,8.05
2003-11-07 12:10:00,8.77
2003-11-07 12:15:00,8.3
2003-11-07 12:20:00,8.04
2003-11-07 12:25:00,10.1
2003-11-07 12:30:00,9.73
2003-11-07 12:35:00,7.83
2003-11-07 12:40:00,7.67
2003-11-07 12:45:00,9.16
2003-11-07 12:50:00,9.12
2003-11-07 12:55:00,8.0
2003-11-07 13:00:00,8.24
2003-11-07 13:05:00,9.2
2003-11-07 13:10:00,8.77
2003-11-07 13:15:00,7.85
2003-11-07 13:20:00,8.13
2003-11-07 13:25:00,9.16
2003-11-07 13:30:00,7.14
2003-11-07 13:35:00,7.66
2003-11-07 13:40:00,8.57
2003-11-07 13:45:00,7.83
2003-11-07 13:50:00,8.65
2003-11-07 13:55:00,9.53
2003-11-07 14:00:00,8.59
2003-11-07 14:05:00,9.12
2003-11-07 14:10:00,8.53
2003-11-07 14:15:00,7.82
2003-11-07 14:20:00,7.94
2003-11-07 14:25:00,7.74
2003-11-07 14:30:00,7.28
2003-11-07 14:35:00,8.18
2003-11-07 14:40:00,7.53
2003-11-07 14:45:00,7.64
2003-11-07 14:50:00,7.96
2003-11-07 14:55:00,7.89
2003-11-07 15:00:00,6.75
2003-11-07 15:05:00,7.96
2003-11-07 15:10:00,8.13
2003-11-07 15:15:00,7.73
2003-11-07 15:20:00,8.55
2003-11-07 15:25:00,8.47
2003-11-07 15:30:00,8.32
2003-11-07 15:35:00,7.29
2003-11-07 15:40:00,6.89
2003-11-07 15:45:00,6.49
2003-11-07 15:50:00,6.25
2003-11-07 15:55:00,6.25
2003-11-07 16:00:00,6.62
2003-11-07 16:05:00,6.85
2003-11-07 16:10:00,9.1
2003-11-07 16:15:00,7.93
2003-11-07 16:20:00,7.48
2003-11-07 16:25:00,9.2
2003-11-07 16:30:00,8.05
2003-11-07 16:35:00,6.81
2003-11-07 16:40:00,7.24
2003-11-07 16:45:00,6.92
2003-11-07 16:50:00,5.83
2003-11-07 16:55:00,6.84
2003-11-07 17:00:00,6.64
2003-11-07 17:05:00,6.58
2003-11-07 17:10:00,6.11
2003-11-07 17:15:00,5.96
2003-11-07 17:20:00,6.43
2003-11-07 17:25:00,6.04
2003-11-07 17:30:00,6.71
2003-11-07 17:35:00,4.99
2003-11-07 17:40:00,6.53
2003-11-07 17:45:00,6.61
2003-11-07 17:50:00,5.6
2003-11-07 17:55:00,6.31
2003-11-07 18:00:00,6.11
2003-11-07 18:05:00,8.38
2003-11-07 18:10:00,6.46
2003-11-07 18:15:00,7.46
2003-11-07 18:20:00,7.85
2003-11-07 18:25:00,6.81
2003-11-07 18:30:00,7.98
2003-11-07 18:35:00,6.04
2003-11-07 18:40:00,8.38
2003-11-07 18:45:00,8.43
2003-11-07 18:50:00,7.55
2003-11-07 18:55:00,8.83
2003-11-07 19:00:00,8.24
2003-11-07 19:05:00,10.1
2003-11-07 19:10:00,8.69
2003-11-07 19:15:00,7.74
2003-11-07 19:20:00,8.69
2003-11-07 19:25:00,5.92
2003-11-07 19:30:00,10.1
2003-11-07 19:35:00,7.73
2003-11-07 19:40:00,6.46
2003-11-07 19:45:00,10.9
2003-11-07 19:50:00,8.75
2003-11-07 19:55:00,10.3
2003-11-07 20:00:00,6.47
2003-11-07 20:05:00,8.47
2003-11-07 20:10:00,9.73
2003-11-07 20:15:00,6.71
2003-11-07 20:20:00,8.18
2003-11-07 20:25:00,7.41
2003-11-07 20:30:00,9.29
2003-11-07 20:35:00,7.29
2003-11-07 20:40:00,6.67
2003-11-07 20:45:00,8.49
2003-11-07 20:50:00,5.68
2003-11-07 20:55:00,8.05
2003-11-07 21:00:00,8.05
2003-11-07 21:05:00,7.53
2003-11-07 21:10:00,10.5
2003-11-07 21:15:00,6.08
2003-11-07 21:20:00,7.59
2003-11-07 21:25:00,6.05
2003-11-07 21:30:00,6.04
2003-11-07 21:35:00,6.81
2003-11-07 21:40:00,4.94
2003-11-07 21:45:00,6.35
2003-11-07 21:50:00,5.26
2003-11-07 21:55:00,5.61
2003-11-07 22:00:00,7.8
2003-11-07 22:05:00,5.92
2003-11-07 22:10:00,7.46
2003-11-07 22:15:00,5.16
2003-11-07 22:20:00,4.89
2003-11-07 22:25:00,7.1
2003-11-07 22:30:00,5.19
