time_tag,p3_flux_ic
1994-02-01 00:00:00,0.194
1994-02-01 00:05:00,0.129
1994-02-01 00:10:00,0.141
1994-02-01 00:15:00,0.195
1994-02-01 00:20:00,0.218
1994-02-01 00:25:00,0.154
1994-02-01 00:30:00,0.418
1994-02-01 00:35:00,0.186
1994-02-01 00:40:00,0.0738
1994-02-01 00:45:00,0.264
1994-02-01 00:50:00,0.136
1994-02-01 00:55:00,0.151
1994-02-01 01:00:00,0.153
1994-02-01 01:05:00,0.12
1994-02-01 01:10:00,0.157
1994-02-01 01:15:00,0.166
1994-02-01 01:20:00,0.067
1994-02-01 01:25:00,0.0869
1994-02-01 01:30:00,0.1
1994-02-01 01:35:00,0.0453
1994-02-01 01:40:00,0.188
1994-02-01 01:45:00,0.044
1994-02-01 01:50:00,0.211
1994-02-01 01:55:00,0.075
1994-02-01 02:00:00,0.284
1994-02-01 02:05:00,0.15
1994-02-01 02:10:00,0.241
1994-02-01 02:15:00,0.0558
1994-02-01 02:20:00,0.0785
1994-02-01 02:25:00,0.121
1994-02-01 02:30:00,0.133
1994-02-01 02:35:00,0.0736
1994-02-01 02:40:00,0.107
1994-02-01 02:45:00,0.147
1994-02-01 02:50:00,0.134
1994-02-01 02:55:00,0.207
1994-02-01 03:00:00,0.113
1994-02-01 03:05:00,0.172
1994-02-01 03:10:00,0.174
1994-02-01 03:15:00,0.075
1994-02-01 03:20:00,0.0453
1994-02-01 03:25:00,0.0855
1994-02-01 03:30:00,0.128
1994-02-01 03:35:00,0.106
1994-02-01 03:40:00,0.164
1994-02-01 03:45:00,0.0689
1994-02-01 03:50:00,0.112
1994-02-01 03:55:00,0.213
1994-02-01 04:00:00,0.159
1994-02-01 04:05:00,0.448
1994-02-01 04:10:00,0.091
1994-02-01 04:15:00,0.178
1994-02-01 04:20:00,0.168
1994-02-01 04:25:00,0.187
1994-02-01 04:30:00,0.0883
1994-02-01 04:35:00,0.102
1994-02-01 04:40:00,0.071
1994-02-01 04:45:00,0.0634
1994-02-01 04:50:00,0.118
1994-02-01 04:55:00,0.067
1994-02-01 05:00:00,0.148
1994-02-01 05:05:00,0.15
1994-02-01 05:10:00,0.1
1994-02-01 05:15:00,0.158
1994-02-01 05:20:00,0.229
1994-02-01 05:25:00,0.0735
1994-02-01 05:30:00,0.118
1994-02-01 05:35:00,0.0738
1994-02-01 05:40:00,0.195
1994-02-01 05:45:00,0.0843
1994-02-01 05:50:00,0.158
1994-02-01 05:55:00,0.067
1994-02-01 06:00:00,0.0524
1994-02-01 06:05:00,0.159
1994-02-01 06:10:00,0.121
1994-02-01 06:15:00,0.0773
1994-02-01 06:20:00,0.0791
1994-02-01 06:25:00,0.0624
1994-02-01 06:30:00,0.0847
1994-02-01 06:35:00,0.0762
1994-02-01 06:40:00,0.0681
1994-02-01 06:45:00,0.0721
1994-02-01 06:50:00,0.0617
1994-02-01 06:55:00,0.0773
1994-02-01 07:00:00,0.124
1994-02-01 07:05:00,0.0634
1994-02-01 07:10:00,0.191
1994-02-01 07:15:00,0.0439
1994-02-01 07:20:00,0.0438
1994-02-01 07:25:00,0.141
1994-02-01 07:30:00,0.138
1994-02-01 07:35:00,0.125
1994-02-01 07:40:00,0.207
1994-02-01 07:45:00,0.0804
1994-02-01 07:50:00,0.102
1994-02-01 07:55:00,0.126
1994-02-01 08:00:00,0.368
1994-02-01 08:05:00,0.334
1994-02-01 08:10:00,0.0893
1994-02-01 08:15:00,0.0453
1994-02-01 08:20:00,0.0697
1994-02-01 08:25:00,0.105
1994-02-01 08:30:00,0.126
1994-02-01 08:35:00,0.209
1994-02-01 08:40:00,0.0736
1994-02-01 08:45:00,0.0375
1994-02-01 08:50:00,0.449
1994-02-01 08:55:00,0.127
1994-02-01 09:00:00,0.091
1994-02-01 09:05:00,0.281
1994-02-01 09:10:00,0.127
1994-02-01 09:15:00,0.175
1994-02-01 09:20:00,0.0955
1994-02-01 09:25:00,0.299
1994-02-01 09:30:00,0.147
1994-02-01 09:35:00,0.0968
1994-02-01 09:40:00,0.193
1994-02-01 09:45:00,0.106
1994-02-01 09:50:00,0.116
1994-02-01 09:55:00,0.0746
1994-02-01 10:00:00,0.147
1994-02-01 10:05:00,0.0883
1994-02-01 10:10:00,0.118
1994-02-01 10:15:00,0.156
1994-02-01 10:20:00,0.136
1994-02-01 10:25:00,0.138
1994-02-01 10:30:00,0.131
1994-02-01 10:35:00,0.125
1994-02-01 10:40:00,0.116
1994-02-01 10:45:00,0.075
1994-02-01 10:50:00,0.067
1994-02-01 10:55:00,0.102
1994-02-01 11:00:00,0.0634
1994-02-01 11:05:00,0.0735
1994-02-01 11:10:00,0.0524
1994-02-01 11:15:00,0.0718
1994-02-01 11:20:00,0.129
1994-02-01 11:25:00,0.111
1994-02-01 11:30:00,0.0656
1994-02-01 11:35:00,0.171
1994-02-01 11:40:00,0.216
1994-02-01 11:45:00,0.0644
1994-02-01 11:50:00,0.0851
1994-02-01 11:55:00,0.207
1994-02-01 12:00:00,0.0573
1994-02-01 12:05:00,0.174
1994-02-01 12:10:00,0.0735
1994-02-01 12:15:00,0.182
1994-02-01 12:20:00,0.106
1994-02-01 12:25:00,0.118
1994-02-01 12:30:00,0.148
1994-02-01 12:35:00,0.0746
1994-02-01 12:40:00,0.243
1994-02-01 12:45:00,0.168
1994-02-01 12:50:00,0.0439
1994-02-01 12:55:00,0.0998
1994-02-01 13:00:00,0.224
