output_file,sep_index,slice_start,event_timestamp,class_label,matched_warning_time,matched_warning_delta_minutes,warning_count,notes
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-05-06_17-10.json,gsep_032,1989-05-06 17:10:00,1989-05-07 05:10:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-05-19_23-15.json,gsep_032_1,1989-05-19 23:15:00,1989-05-20 11:15:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-05-22_06-30.json,gsep_033,1989-05-22 06:30:00,1989-05-22 18:30:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-06-13_23-10.json,gsep_033_1,1989-06-13 23:10:00,1989-06-14 11:10:00,not_found,,,21,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-06-18_05-05.json,gsep_034,1989-06-18 05:05:00,1989-06-18 17:05:00,close,1989-06-18 17:05:00,0.00,117,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-06-20_09-20.json,gsep_035,1989-06-20 09:20:00,1989-06-20 21:20:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-06-28_16-45.json,gsep_036,1989-06-28 16:45:00,1989-06-29 04:45:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-06-29_10-55.json,gsep_037,1989-06-29 10:55:00,1989-06-29 22:55:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-06-30_08-20.json,gsep_038,1989-06-30 08:20:00,1989-06-30 20:20:00,not_found,,,29,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-07-24_21-35.json,gsep_039,1989-07-24 21:35:00,1989-07-25 09:35:00,close,1989-07-25 09:20:00,-15.00,2,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-08-12_04-20.json,gsep_040,1989-08-12 04:20:00,1989-08-12 16:20:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-08-14_18-30.json,gsep_041,1989-08-14 18:30:00,1989-08-15 06:30:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-08-15_13-30.json,gsep_042,1989-08-15 13:30:00,1989-08-16 01:30:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-08-16_19-05.json,gsep_043,1989-08-16 19:05:00,1989-08-17 07:05:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-08-19_07-25.json,gsep_044,1989-08-19 07:25:00,1989-08-19 19:25:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-08-21_21-10.json,gsep_045,1989-08-21 21:10:00,1989-08-22 09:10:00,not_found,,,14,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-08-31_02-15.json,gsep_046,1989-08-31 02:15:00,1989-08-31 14:15:00,close,1989-08-31 13:00:00,-75.00,71,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-09-03_15-05.json,gsep_047,1989-09-03 15:05:00,1989-09-04 03:05:00,not_found,,,0,
