sep_index,slice_start,event_timestamp,class_label,matched_warning_time,matched_warning_delta_minutes,total_warning_candidates,notes
gsep_063,1990-04-07 10:40:00,1990-04-07 22:40:00,not_found,,,1,
gsep_064,1990-04-11 09:20:00,1990-04-11 21:20:00,not_found,,,1,
gsep_065,1990-04-16 17:00:00,1990-04-17 05:00:00,not_found,,,1,
gsep_066,1990-04-27 22:05:00,1990-04-28 10:05:00,not_found,,,1,
gsep_066_1,1990-05-06 18:05:00,1990-05-07 06:05:00,not_found,,,1,
gsep_067,1990-05-10 09:10:00,1990-05-10 21:10:00,not_found,,,1,
gsep_068,1990-05-17 06:10:00,1990-05-17 18:10:00,not_found,,,1,
gsep_069,1990-05-21 11:55:00,1990-05-21 23:55:00,not_found,,,1,
gsep_070,1990-05-24 09:25:00,1990-05-24 21:25:00,not_found,,,1,
gsep_071,1990-05-26 09:10:00,1990-05-26 21:10:00,not_found,,,1,
gsep_072,1990-05-27 17:45:00,1990-05-28 05:45:00,not_found,,,1,
gsep_073,1990-06-11 23:40:00,1990-06-12 11:40:00,not_found,,,1,
gsep_074,1990-07-13 02:15:00,1990-07-13 14:15:00,not_found,,,1,
gsep_075,1990-07-26 01:30:00,1990-07-26 13:30:00,not_found,,,1,
gsep_076,1990-07-31 12:20:00,1990-08-01 00:20:00,not_found,,,1,
gsep_077,1990-08-12 11:25:00,1990-08-12 23:25:00,not_found,,,1,
gsep_077_1,1990-10-22 22:30:00,1990-10-23 10:30:00,not_found,,,1,
gsep_077_2,1990-11-10 11:00:00,1990-11-10 23:00:00,not_found,,,1,
gsep_077_3,1990-12-22 22:55:00,1990-12-23 10:55:00,not_found,,,1,
gsep_077_4,1990-12-24 04:30:00,1990-12-24 16:30:00,not_found,,,1,
gsep_077_5,1991-01-25 02:25:00,1991-01-25 14:25:00,not_found,,,1,
gsep_078,1991-01-27 08:25:00,1991-01-27 20:25:00,not_found,,,1,
gsep_079,1991-01-30 23:30:00,1991-01-31 11:30:00,not_found,,,1,
gsep_080,1991-02-07 20:50:00,1991-02-08 08:50:00,not_found,,,1,
gsep_081,1991-02-25 00:10:00,1991-02-25 12:10:00,not_found,,,1,
gsep_082,1991-03-12 04:50:00,1991-03-12 16:50:00,not_found,,,1,
gsep_083,1991-03-16 03:00:00,1991-03-16 15:00:00,not_found,,,1,
gsep_084,1991-03-22 20:20:00,1991-03-23 08:20:00,not_found,,,1,
gsep_085,1991-03-29 09:20:00,1991-03-29 21:20:00,not_found,,,1,
gsep_086,1991-03-31 10:55:00,1991-03-31 22:55:00,not_found,,,1,
gsep_087,1991-04-02 20:15:00,1991-04-03 08:15:00,not_found,,,1,
gsep_088,1991-04-16 15:50:00,1991-04-17 03:50:00,not_found,,,1,
gsep_089,1991-04-21 20:35:00,1991-04-22 08:35:00,not_found,,,1,
gsep_090,1991-05-09 18:50:00,1991-05-10 06:50:00,not_found,,,1,
gsep_091,1991-05-12 15:00:00,1991-05-13 03:00:00,not_found,,,1,
gsep_092,1991-05-17 23:10:00,1991-05-18 11:10:00,not_found,,,1,
