file,start_time,probability,status
1985-11-01T00-00-00.csv,1985-06-01 00:00:00,0.0,FALSE ALARM
1986-01-01T00-00-00.csv,1985-06-01 00:00:00,0.0,FALSE ALARM
1986-02-15T14-25-00.csv,1985-06-01 00:00:00,0.048,FALSE ALARM
1986-02-17T09-35-00.csv,1985-06-01 00:00:00,0.0,FALSE ALARM
1986-03-01T00-00-00.csv,1985-06-01 00:00:00,0.0,FALSE ALARM
1986-03-06T22-15-00.csv,1985-06-01 00:00:00,0.0,FALSE ALARM
1986-04-01T00-00-00.csv,1985-06-01 00:00:00,0.0,FALSE ALARM
1986-05-01T00-00-00.csv,1986-05-01 00:00:00,0.154,FALSE ALARM
1986-05-04T16-55-00.csv,1986-05-01 00:00:00,0.0,FALSE ALARM
1986-06-01T00-00-00.csv,1986-06-01 00:00:00,0.164,FALSE ALARM
1986-07-01T00-00-00.csv,1986-06-01 00:00:00,0.0,FALSE ALARM
1986-08-01T00-00-00.csv,1986-06-01 00:00:00,0.058,FALSE ALARM
1986-09-01T00-00-00.csv,1986-06-01 00:00:00,0.0,FALSE ALARM
1986-10-01T00-00-00.csv,1986-06-01 00:00:00,0.046,FALSE ALARM
1986-11-01T00-00-00.csv,1986-06-01 00:00:00,0.0,FALSE ALARM
1986-12-01T00-00-00.csv,1986-12-01 00:00:00,0.232,FALSE ALARM
1987-01-01T00-00-00.csv,1986-12-01 00:00:00,0.0,FALSE ALARM
1987-02-01T00-00-00.csv,1987-02-01 00:00:00,0.886,FALSE ALARM
1985-04-25T16-20-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1986-02-06T00-05-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1986-02-14T02-40-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1986-02-14T11-35-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1987-11-07T19-25-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1988-01-02T15-55-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-03-08T21-45-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-03-09T08-35-00.csv,1987-02-01 00:00:00,0.002,FALSE ALARM
1989-03-09T21-45-00.csv,1987-02-01 00:00:00,0.04,FALSE ALARM
1989-03-10T15-50-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-03-10T21-50-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-03-12T07-10-00.csv,1987-02-01 00:00:00,0.002,FALSE ALARM
1989-03-12T10-45-00.csv,1987-02-01 00:00:00,0.002,FALSE ALARM
1989-03-12T21-45-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-03-17T07-10-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-03-17T13-40-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-03-17T21-45-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-03-18T16-20-00.csv,1987-02-01 00:00:00,0.006,FALSE ALARM
1989-03-18T21-45-00.csv,1987-02-01 00:00:00,0.002,FALSE ALARM
1989-03-23T09-00-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-04-11T05-55-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-04-11T10-50-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-04-12T14-15-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-04-13T14-20-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-05-05T21-45-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-07-24T21-15-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-08-12T04-50-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-08-12T07-15-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-08-14T23-35-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-08-19T12-20-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-08-23T05-55-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-09-12T21-35-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-09-29T00-15-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-09-29T01-25-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-09-29T18-20-00.csv,1987-02-01 00:00:00,0.004,FALSE ALARM
1989-09-29T18-25-00.csv,1987-02-01 00:00:00,0.038,FALSE ALARM
1989-09-29T21-25-00.csv,1987-02-01 00:00:00,0.006,FALSE ALARM
1989-09-30T12-00-00.csv,1987-02-01 00:00:00,0.032,FALSE ALARM
1989-09-30T21-25-00.csv,1987-02-01 00:00:00,0.042,FALSE ALARM
1989-10-01T21-25-00.csv,1987-02-01 00:00:00,0.01,FALSE ALARM
1989-10-02T21-20-00.csv,1987-02-01 00:00:00,0.004,FALSE ALARM
1989-10-19T01-10-00.csv,1987-02-01 00:00:00,0.004,FALSE ALARM
1989-10-19T03-15-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-10-19T10-40-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-10-20T02-35-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
1989-10-20T06-45-00.csv,1987-02-01 00:00:00,0.0,FALSE ALARM
