file_name,file_root,start_time,probability,status,p3_flux_ic__global_std,p3_flux_ic__std__pool_max,p3_flux_ic__std__pool_mean,p3_flux_ic__peak_ratio,p3_flux_ic__std__pool_min,p3_flux_ic__slope__pool_max,p3_flux_ic__iqr,p3_flux_ic__coeff_var,p3_flux_ic__skew,p3_flux_ic__global_slope,p3_flux_ic__slope__pool_mean,p3_flux_ic__accel,p3_flux_ic__slope__pool_min
1978-09-23T00-40-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03,1978-09-23 00:40:00,0.948,EVENT_DETECTED,1.221977837474406,0.6560713064496003,0.628441851357347,4458691508.622516,0.5992153607146646,0.026786338804602006,0.0811601556014041,2.8378850567672727,2.9339604736718923,-0.00408649830336683,-0.004826597705902814,2.6672319044149005e-05,-0.03698707906870231
1979-04-29T10-50-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03,1979-04-29 10:50:00,0.98,EVENT_DETECTED,3.010382174886922,2.8563172790372042,2.7159161053202316,9317626866.614166,2.567914040442518,0.13775355834013417,5.108156550615141,1.5939065206219392,1.269928422366246,0.012812498110862325,0.007600228894328926,7.433211996265023e-05,-0.11570432572740509
1979-06-06T07-25-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03,1979-06-06 07:25:00,0.856,EVENT_DETECTED,0.9529208796296699,0.4290549235527964,0.4092341841028832,3889952782.575382,0.38987019265265693,0.018488743314056953,0.02384349723716328,3.2591906108216513,3.3817669003695174,-0.0019668065665708404,-0.0013265515544336414,1.0456359430115201e-06,-0.021229796651216548
1979-11-15T19-25-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03,1979-11-15 19:25:00,0.236,LOW_CONFIDENCE,0.5682378309295533,0.2660918761353916,0.24464230335962417,2967599678.073978,0.22204049551227398,0.012345872447120312,0.11453199883756915,3.145343182752734,4.488902831968154,-0.0021451425202634747,-0.0010492104635697111,-9.802891646019423e-07,-0.014508919092664621
1978-08-01T00-00-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03/non_event,1978-08-01 00:00:00,0.944,EVENT_DETECTED,1.9919843918980134,1.822243527331607,1.7037727360249237,5552972237.463008,1.5903480306854987,0.08356714162735655,0.0,2.194728885304496,1.740251612459305,0.0040496795114238916,0.0018120585961044966,0.0004179844405510843,-0.07958573682070152
1978-09-01T00-00-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03/non_event,1978-09-01 00:00:00,0.93,EVENT_DETECTED,2.1064446798450533,2.0146501240228805,1.9261639658630036,5552972237.463008,1.8348861571017376,0.09371042049027975,2.6085839893855782,1.6837938743138023,1.2500153798381548,0.0005807234483624566,0.00931283828972283,-0.00023251821381233863,-0.07723044674628048
1978-10-01T00-00-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03/non_event,1978-10-01 00:00:00,0.98,EVENT_DETECTED,2.028909196385344,1.8829387973945682,1.7569715293042119,5853996154.785196,1.632795643417342,0.07052533196649637,2.64334609564479,1.71895436771892,1.328588009582425,-0.0031434839733195277,-0.01234403413469209,-0.00014940795207311512,-0.09423550799268779
1978-11-01T00-00-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03/non_event,1978-11-01 00:00:00,0.97,EVENT_DETECTED,2.245536656539749,2.1879967898642714,2.0723425979604944,5552972237.463008,1.9507801835863914,0.09147874022412594,2.625965042515184,1.7055287914273844,1.1625364934876854,-0.006516937759962617,-0.008961570694539182,9.42550579668346e-06,-0.10791550265925659
1978-12-01T00-00-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03/non_event,1978-12-01 00:00:00,0.898,EVENT_DETECTED,1.9735993165984838,1.8598130201910652,1.724562380219976,5694298013.413428,1.5904243804072224,0.07162874993971076,0.0,2.064304016671841,1.6780377380646112,0.00223782353323276,-0.0073280202909921655,-0.00026162078770772316,-0.08682822654268815
1979-02-01T00-00-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03/non_event,1979-02-01 00:00:00,0.966,EVENT_DETECTED,2.334629940385087,2.369304043019172,2.293906991061679,5729059444.30028,2.2098702237983687,0.10352946887492845,5.2171679787711565,1.6593019560821665,1.0718160193168709,0.0024837956206093903,0.0015255078381378115,0.00013286826737927163,-0.10051639589521295
1979-03-01T00-00-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03/non_event,1979-03-01 00:00:00,0.962,EVENT_DETECTED,2.0888261909531476,2.0738764147069775,1.9436571097547009,5694298013.413428,1.8156537086557742,0.09429636431638251,2.6085839893855782,1.7391548198062872,1.3147124808789716,0.0031165807085086123,0.003163770187257515,0.00019202764304553126,-0.08813491288694839
1979-05-01T00-00-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03/non_event,1979-05-01 00:00:00,0.898,EVENT_DETECTED,2.297113711724211,2.3729212865064575,2.2900180932127845,5729059444.30028,2.207856088281099,0.10818482361471189,3.4734765709957687,1.5628302466657449,1.0003765830111084,0.004558670124367835,0.00706148568260348,-0.00046481392460000166,-0.09459893388676364
1979-08-01T00-00-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03/non_event,1979-08-01 00:00:00,0.842,EVENT_DETECTED,2.2211382137583966,2.2951398943873804,2.2064712557290767,5552972237.463008,2.096901511433451,0.09102201873405108,0.0,1.8337269971249919,1.2894552902093945,-0.000742469486299368,-0.008386730879083558,-0.0003753662794764293,-0.10775949476900877
1979-09-01T00-00-00.csv,/Users/ran/cs/6850/project/data/2026-05-08/slice/GOES-g03/non_event,1979-09-01 00:00:00,0.854,EVENT_DETECTED,2.1288037182229047,2.0880816904587487,1.959833933601879,5694280453.390706,1.8220923330353354,0.10554719487916449,0.034762106259211945,1.8583070074822385,1.373031854733471,-0.0036598973648516715,0.006204517918220661,-0.00038185978918345656,-0.09135712590336448
