time_tag,p3_flux_ic
2017-01-01 00:00:00,0.13436
2017-01-01 00:05:00,0.12628
2017-01-01 00:10:00,0.17814
2017-01-01 00:15:00,0.14397
2017-01-01 00:20:00,0.28733
2017-01-01 00:25:00,0.11251
2017-01-01 00:30:00,0.17784
2017-01-01 00:35:00,0.15944
2017-01-01 00:40:00,0.16286
2017-01-01 00:45:00,0.17812
2017-01-01 00:50:00,0.12809
2017-01-01 00:55:00,0.19079
2017-01-01 01:00:00,0.11251
2017-01-01 01:05:00,0.15772
2017-01-01 01:10:00,0.30064
2017-01-01 01:15:00,0.11696
2017-01-01 01:20:00,0.1593
2017-01-01 01:25:00,0.24672
2017-01-01 01:30:00,0.11251
2017-01-01 01:35:00,0.11922
2017-01-01 01:40:00,0.23573
2017-01-01 01:45:00,0.20107
2017-01-01 01:50:00,0.17795
2017-01-01 01:55:00,0.19765
2017-01-01 02:00:00,0.17067
2017-01-01 02:05:00,0.2258
2017-01-01 02:10:00,0.17606
2017-01-01 02:15:00,0.16612
2017-01-01 02:20:00,0.11251
2017-01-01 02:25:00,0.20778
2017-01-01 02:30:00,0.20631
2017-01-01 02:35:00,0.1463
2017-01-01 02:40:00,0.22572
2017-01-01 02:45:00,0.33539
2017-01-01 02:50:00,0.12648
2017-01-01 02:55:00,0.19755
2017-01-01 03:00:00,0.16416
2017-01-01 03:05:00,0.11136
2017-01-01 03:10:00,0.15564
2017-01-01 03:15:00,0.2059
2017-01-01 03:20:00,0.24541
2017-01-01 03:25:00,0.1777
2017-01-01 03:30:00,0.24541
2017-01-01 03:35:00,0.11459
2017-01-01 03:40:00,0.17498
2017-01-01 03:45:00,0.15946
2017-01-01 03:50:00,0.12697
2017-01-01 03:55:00,0.13469
2017-01-01 04:00:00,0.14504
2017-01-01 04:05:00,0.14321
2017-01-01 04:10:00,0.16896
2017-01-01 04:15:00,0.21605
2017-01-01 04:20:00,0.11459
2017-01-01 04:25:00,0.12151
2017-01-01 04:30:00,0.17187
2017-01-01 04:35:00,0.11916
2017-01-01 04:40:00,0.21255
2017-01-01 04:45:00,0.11136
2017-01-01 04:50:00,0.16018
2017-01-01 04:55:00,0.16112
2017-01-01 05:00:00,0.23154
2017-01-01 05:05:00,0.11136
2017-01-01 05:10:00,0.12449
2017-01-01 05:15:00,0.18224
2017-01-01 05:20:00,0.22747
2017-01-01 05:25:00,0.18348
2017-01-01 05:30:00,0.14253
2017-01-01 05:35:00,0.13942
2017-01-01 05:40:00,0.15754
2017-01-01 05:45:00,0.2823
2017-01-01 05:50:00,0.1333
2017-01-01 05:55:00,0.18224
2017-01-01 06:00:00,0.18237
2017-01-01 06:05:00,0.27346
2017-01-01 06:10:00,0.16455
2017-01-01 06:15:00,0.18911
2017-01-01 06:20:00,0.16309
2017-01-01 06:25:00,0.11136
2017-01-01 06:30:00,0.33676
2017-01-01 06:35:00,0.31571
2017-01-01 06:40:00,0.17552
2017-01-01 06:45:00,0.29883
2017-01-01 06:50:00,0.218
2017-01-01 06:55:00,0.24541
2017-01-01 07:00:00,0.11916
2017-01-01 07:05:00,0.12849
2017-01-01 07:10:00,0.11136
2017-01-01 07:15:00,0.15321
