time_tag,gt8
1997-01-01 00:00:00,0.000130466
1997-01-01 00:05:00,7.9267e-05
1997-01-01 00:10:00,0.000309685
1997-01-01 00:15:00,7.9267e-05
1997-01-01 00:20:00,0.000104373
1997-01-01 00:25:00,0.000187813
1997-01-01 00:30:00,0.000171053
1997-01-01 00:35:00,0.000188787
1997-01-01 00:40:00,0.000244205
1997-01-01 00:45:00,6.0565e-05
1997-01-01 00:50:00,0.000123075
1997-01-01 00:55:00,3.9633e-05
1997-01-01 01:00:00,0.000127248
1997-01-01 01:05:00,4.3808e-05
1997-01-01 01:10:00,0.0
1997-01-01 01:15:00,6.0565e-05
1997-01-01 01:20:00,0.00032570099999999996
1997-01-01 01:25:00,0.000164938
1997-01-01 01:30:00,0.00026708
1997-01-01 01:35:00,0.000358872
1997-01-01 01:40:00,0.000160763
1997-01-01 01:45:00,0.000127248
1997-01-01 01:50:00,0.000171053
1997-01-01 01:55:00,8.344099999999999e-05
1997-01-01 02:00:00,0.00016688199999999998
1997-01-01 02:05:00,4.3808e-05
1997-01-01 02:10:00,0.00013142
1997-01-01 02:15:00,0.000144006
1997-01-01 02:20:00,0.0
1997-01-01 02:25:00,0.000319238
1997-01-01 02:30:00,3.9633e-05
1997-01-01 02:35:00,0.000187813
1997-01-01 02:40:00,0.00030477499999999997
1997-01-01 02:45:00,0.000221333
1997-01-01 02:50:00,0.000269315
1997-01-01 02:55:00,4.3808e-05
1997-01-01 03:00:00,0.000225508
1997-01-01 03:05:00,0.000104373
1997-01-01 03:10:00,0.00010019799999999999
1997-01-01 03:15:00,8.7615e-05
1997-01-01 03:20:00,6.0565e-05
1997-01-01 03:25:00,3.9633e-05
1997-01-01 03:30:00,0.000127248
1997-01-01 03:35:00,0.000149555
1997-01-01 03:40:00,0.0
1997-01-01 03:45:00,0.000104373
1997-01-01 03:50:00,4.3808e-05
1997-01-01 03:55:00,8.344099999999999e-05
1997-01-01 04:00:00,3.9633e-05
1997-01-01 04:05:00,8.7615e-05
1997-01-01 04:10:00,0.00010019799999999999
1997-01-01 04:15:00,3.9633e-05
1997-01-01 04:20:00,0.0
1997-01-01 04:25:00,3.9633e-05
1997-01-01 04:30:00,0.00014817999999999998
1997-01-01 04:35:00,0.000187813
1997-01-01 04:40:00,0.000221333
1997-01-01 04:45:00,0.000164938
1997-01-01 04:50:00,0.00010019799999999999
1997-01-01 04:55:00,0.00030670999999999997
1997-01-01 05:00:00,3.9633e-05
1997-01-01 05:05:00,0.0
1997-01-01 05:10:00,0.000204571
1997-01-01 05:15:00,0.0
1997-01-01 05:20:00,7.9267e-05
1997-01-01 05:25:00,0.00018364
1997-01-01 05:30:00,8.344099999999999e-05
1997-01-01 05:35:00,0.000187813
1997-01-01 05:40:00,0.00020874499999999998
1997-01-01 05:45:00,0.000104373
1997-01-01 05:50:00,0.000144006
1997-01-01 05:55:00,8.344099999999999e-05
1997-01-01 06:00:00,7.9267e-05
1997-01-01 06:05:00,0.000144006
1997-01-01 06:10:00,0.000164938
1997-01-01 06:15:00,8.344099999999999e-05
1997-01-01 06:20:00,0.000202872
1997-01-01 06:25:00,3.9633e-05
1997-01-01 06:30:00,0.00010019799999999999
1997-01-01 06:35:00,6.0565e-05
1997-01-01 06:40:00,8.7615e-05
1997-01-01 06:45:00,0.000170085
1997-01-01 06:50:00,0.000219095
1997-01-01 06:55:00,3.9633e-05
1997-01-01 07:00:00,0.000331817
1997-01-01 07:05:00,0.000288012
1997-01-01 07:10:00,0.000104373
1997-01-01 07:15:00,0.000139832
1997-01-01 07:20:00,0.000344289
1997-01-01 07:25:00,0.0
1997-01-01 07:30:00,3.9633e-05
1997-01-01 07:35:00,0.00018364
1997-01-01 07:40:00,0.0
1997-01-01 07:45:00,0.00022744699999999998
1997-01-01 07:50:00,0.000123075
1997-01-01 07:55:00,0.000248378
1997-01-01 08:00:00,0.00010019799999999999
1997-01-01 08:05:00,0.000281893
1997-01-01 08:10:00,0.000371421
1997-01-01 08:15:00,0.00028369699999999996
1997-01-01 08:20:00,0.0
1997-01-01 08:25:00,4.3808e-05
1997-01-01 08:30:00,0.00014817999999999998
1997-01-01 08:35:00,0.000160763
1997-01-01 08:40:00,0.00020874499999999998
1997-01-01 08:45:00,0.000313006
1997-01-01 08:50:00,0.000329875
1997-01-01 08:55:00,0.000104373
1997-01-01 09:00:00,0.000171053
1997-01-01 09:05:00,0.000258673
1997-01-01 09:10:00,0.000164938
1997-01-01 09:15:00,8.7615e-05
1997-01-01 09:20:00,0.00046688000000000003
1997-01-01 09:25:00,0.000164938
1997-01-01 09:30:00,0.00013142
1997-01-01 09:35:00,0.00016270800000000001
1997-01-01 09:40:00,0.000127248
1997-01-01 09:45:00,0.000191985
1997-01-01 09:50:00,0.000187813
1997-01-01 09:55:00,0.00010019799999999999
1997-01-01 10:00:00,0.00010019799999999999
1997-01-01 10:05:00,0.00017946500000000002
1997-01-01 10:10:00,8.7615e-05
1997-01-01 10:15:00,0.00037575
1997-01-01 10:20:00,0.000204571
1997-01-01 10:25:00,8.7615e-05
1997-01-01 10:30:00,0.000187813
1997-01-01 10:35:00,8.344099999999999e-05
1997-01-01 10:40:00,0.000123075
1997-01-01 10:45:00,0.000231618
1997-01-01 10:50:00,0.000164938
1997-01-01 10:55:00,0.00014817999999999998
1997-01-01 11:00:00,0.000204571
1997-01-01 11:05:00,0.00021486299999999998
1997-01-01 11:10:00,0.0001189
1997-01-01 11:15:00,0.000144006
1997-01-01 11:20:00,8.7615e-05
1997-01-01 11:25:00,6.0565e-05
1997-01-01 11:30:00,0.00014817999999999998
1997-01-01 11:35:00,0.000225508
1997-01-01 11:40:00,4.3808e-05
1997-01-01 11:45:00,0.000127248
1997-01-01 11:50:00,0.00030894799999999997
1997-01-01 11:55:00,6.0565e-05
1997-01-01 12:00:00,0.000127248
1997-01-01 12:05:00,7.9267e-05
1997-01-01 12:10:00,8.7615e-05
1997-01-01 12:15:00,0.000104373
1997-01-01 12:20:00,0.000104373
1997-01-01 12:25:00,0.00018364
1997-01-01 12:30:00,0.000164938
1997-01-01 12:35:00,0.000104373
1997-01-01 12:40:00,0.00026096699999999997
1997-01-01 12:45:00,0.00010019799999999999
1997-01-01 12:50:00,8.344099999999999e-05
1997-01-01 12:55:00,0.000244205
1997-01-01 13:00:00,0.00034440800000000004
